btc_market_price,btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_blocks_size,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction_percent,btc_cost_per_transaction,btc_n_unique_addresses,btc_n_transactions,btc_n_transactions_total,btc_n_transactions_excluding_popular,btc_n_transactions_excluding_chains_longer_than_100,btc_output_volume,btc_estimated_transaction_volume,btc_estimated_transaction_volume_usd
0,2110700,0,0,0,0.000216334661355,0,1,0,3.15392916043E-05,2.52773821507,0,0,25100,0,252,252,42613,252,252,12600,50,0
0,2127600,0,0,0,0.000226905405405,0,1,0,2.78185891402E-05,3.78117925203,0,0,1057.14285714,0,150,150,42959,150,150,8100,700,0
0,2136100,0,0,0,0.000318676470588,0,1,0,3.19537848232E-05,3.78117925203,0,0,64.582059104,0,176,176,43135,176,176,29349,13162,0
0,2144750,0,0,0,0.000223416184971,0,1,0,3.25176751436E-05,3.78117925203,0,0,1922.22222222,0,176,176,43311,176,176,9101,450,0
0,2162150,0,0,0,0.000228225806452,0,1,0,3.49611998654E-05,3.78117925203,0,0,930,0,187,187,43663,187,187,10300,1000,0
0,2179350,0,0,0,0.000220128378378,0,1,0,2.78185891402E-05,3.78117925203,0,0,2960,0,150,151,44018,151,151,7650,250,0
0,2197200,0,0,0,0.000465874285714,0,1,0,3.28936020239E-05,3.78117925203,0,0,45.6919060052,0,178,178,44383,178,178,27900,19150,0
0,2215000,0,0,0,0.00029489017341,0,1,0,3.25176751436E-05,3.78117925203,0,0,114.496440683,0,177,178,44749,178,178,16250,7555,0
0,2221800,0,0,0,0.000370110294118,0,1,0,3.06328161893E-05,4.53108175007,0,0,75.4668400924,0,143,141,44890,141,141,15845.18,9011,0
0,2229200,0,0,0,0.000277486486486,0,1,0,3.33357117355E-05,4.53108175007,0,0,185,0,149,149,45039,149,149,11400,4000,0
0,2243950,0,0,0,0.000288479452055,0,1,0,3.28852291444E-05,4.53108175007,0,0,167.777522409,0,155,154,45345,154,154,11749.99,4351,0
0,2249850,0,0,0,0.000220728813559,0,1,0,2.65784728702E-05,4.53108175007,0,0,2360,0,119,119,45464,119,119,6150,250,0
0,2257750,0,0,0,0.000243582278481,0,1,0,3.55881246906E-05,4.53108175007,0,0,415.789473684,0,160,160,45624,160,160,9800,1900,0
0,2264000,0,0,0,0.000227016,0,1,0,2.81551619387E-05,4.53108175007,0,0,403.225806452,0,127,127,45751,127,127,7800,1550,0
0,2270200,0,0,0,0.000223758064516,0,1,0,2.79299206432E-05,4.53108175007,0,0,88571.4285714,0,131,128,45879,128,128,6302,7,0
0,2277000,0,0,0,0.000219161764706,0,1,0,3.06328161893E-05,4.53108175007,0,0,4533.33333333,0,138,138,46017,138,138,6950,150,0
0,2283150,0,0,0,0.000259170731707,0,1,0,2.77046793477E-05,4.53108175007,0,0,285.913528591,0,127,127,46144,127,127,8301,2151,0
0,2290950,0,0,0,0.000224628205128,0,1,0,3.51376420995E-05,4.53108175007,0,0,3250,0,163,161,46305,161,161,8130,240,0
0,2297600,0,0,0,0.000371007518797,0,1,0,2.99570923028E-05,4.53108175007,0,0,75.3968253968,0,140,144,46449,144,144,15470,8820,0
0,2307250,0,0,0,0.000267533678756,0,1,0,4.34715700334E-05,4.53108175007,0,0,249.612002069,0,204,203,46652,203,203,13696,3866,0
0,2316300,0,0,0,0.000236397790055,0,1,0,4.07686744873E-05,4.53108175007,0,0,577.53669432,0,191,191,46843,191,191,11552,1567,0
0,2325150,0,0,0,0.000246796610169,0,1,0,4.01675798142E-05,4.56516291034,0,0,333.962264151,0,184,186,47029,186,186,11500,2650,0
0,2335400,0,0,0,0.000258741463415,0,1,0,4.65217732311E-05,4.56516291034,0,0,276.771200674,0,212,215,47244,215,215,13960.59,3703,0
0,2344100,0,0,0,0.000239971264368,0,1,0,3.94867733766E-05,4.56516291034,0,0,651.031923014,0,183,187,47431,187,187,10076.34,1336,0
0,2353400,0,0,0,0.000432338709677,0,1,0,4.22099991267E-05,4.56516291034,0,0,37.9591836735,0,196,197,47628,197,197,33800,24500,0
0,2363150,0,0,0,0.000250984615385,0,1,0,4.42524184393E-05,4.56516291034,0,0,389.682019472,0,204,213,47841,213,213,12351,2502,0
0,2371850,0,0,0,0.000256201149425,0,1,0,3.94867733766E-05,4.56516291034,0,0,205.938606624,0,183,182,48023,182,182,12950,4225,0
0,2381550,0,0,0,0.000225974226804,0,1,0,4.40254829602E-05,4.56516291034,0,0,510.526315789,0,197,198,48221,198,198,11600,1900,0
0,2391150,0,0,0,0.000261817708333,0,1,0,4.35716120018E-05,4.56516291034,0,0,263.01369863,0,199,205,48426,205,205,13250,3650,0
0,2401700,0,0,0,0.000223146919431,0,1,0,4.78833861061E-05,4.56516291034,0,0,1918.18181818,0,214,217,48643,217,217,11100,550,0
0,2412050,0,0,0,0.00022861352657,0,1,0,4.69756441894E-05,4.56516291034,0,0,985.714285714,0,209,213,48856,213,213,11400,1050,0
0,2421500,0,0,0,0.000233592592593,0,1,0,5.71745218884E-05,6.085476906,0,0,641.338871244,0,195,198,49054,198,198,10924.2,1473,0
0,2428900,0,0,0,0.000239283783784,0,1,0,4.47715832777E-05,6.085476906,0,0,528.571428571,0,152,155,49209,155,155,8800,1400,0
0,2437200,0,0,0,0.000235765060241,0,1,0,5.02167758385E-05,6.085476906,0,0,496.488688432,0,173,171,49380,171,171,10023.48,1672,0
0,2445500,0,0,0,0.000249277108434,0,1,0,5.02167758385E-05,6.085476906,0,0.26,394.005421135,0,172,175,49555,175,175,10500,2107,0
0,2453800,0,0,0,0.00027934939759,0,1,0,5.02167758385E-05,6.085476906,0,0,197.149175418,0,176,179,49734,179,179,12594.74,4210,0
0,2461050,0,0,0,0.00037864137931,0,1,0,4.38640511842E-05,6.085476906,0,0,70.3551528114,0,175,175,49909,175,175,19633.45,10305,0
0,2470700,0,0,0,0.000282715025907,0,1,0,5.83845646797E-05,6.085476906,0,0,175.483580011,0,203,207,50116,207,207,15153.14,5499,0
0,2480450,0,0,0,0.000264866666667,0,1,0,5.89895860753E-05,6.085476906,0,0,301.111797406,0,209,208,50324,208,208,13238.74,3238,0
0,2489300,0,0,0,0.00025486440678,0,1,0,5.35443935145E-05,6.085476906,0,0,367.218393285,0,190,189,50513,189,189,11424.01,2410,0
0,2513250,0,0,0,0.000294129707113,0,1,0,7.23000567795E-05,6.085476906,0,0,114.76524505,0,269,271,51078,271,271,22677.31,10413,0
0,2524100,0,0,0,0.000338958525346,0,1,0,8.43531550865E-05,7.81979699335,0,0,45.9374759199,0,259,270,51348,270,270,43764.61,23619,0
0,2562750,0,0,0,0.000319237623762,0,1,0,7.85222918317E-05,7.81979699335,0,0,131.317373288,0,231,234,52289,234,234,27931.63,7691,0
0,2573250,0,0,0,0.00029749047619,0,1,0,8.16320855676E-05,7.81979699335,0,0,133.655123956,0,236,242,52531,242,242,18391.58,7856,0
0,2586500,0,0,0,0.00130918490566,0,1,0,0.000103011917502,7.81979699335,0,0,150.057474844,0,1346,1337,53868,1337,308,25304.6,8830,0
0,2607600,0,0,0,0.000461834146341,0,1,0,7.96884644827E-05,7.81979699335,0,0,32.1056950805,0,234,242,56406,242,242,42263.8,31926,0
0,2635000,0,0,0,0.000301906666667,0,1,0,8.54841344717E-05,11.4643158055,0,0,163.462795868,0,192,198,57065,198,198,13790.99,4588,0
0,2650800,0,0,0,0.000315059171598,0,1,0,9.63121248381E-05,11.4643158055,0,0,110.445966435,0,196,210,57466,210,210,21180.8,7651,0
0,2659300,0,0,0,0.000356264705882,0,1,0,9.68820190679E-05,11.4643158055,0,0,99.5345296993,0,211,220,57686,220,220,17815.5,8540,0
0,2667800,0,0,0,0.000307541176471,0,1,0,9.68820190679E-05,11.4643158055,0,0,63.4246947407,0,216,225,57911,225,225,22343.93,13402,0
0,2676550,0,0,0,0.000326982857143,0,1,0,9.9731490217E-05,11.4643158055,0,0,129.257177466,0,212,219,58130,219,219,16271.87,6769,0
0,2684500,0,0,0,0.000292377358491,0,1,0,9.061318254E-05,11.4643158055,0,0,146.467102936,0,188,197,58327,197,197,13386.03,5428,0
0,2692150,0,0,0,0.000272954248366,0,1,0,8.71938171611E-05,11.4643158055,0,0,23.006031189,0,179,181,58508,181,181,40960.32,33252,0
0,2700300,0,0,0,0.000268153374233,0,1,0,9.28927594592E-05,11.4643158055,0,0,106.133611147,0,181,187,58695,187,187,41344.6,7679,0
0,2716800,0,0,0,0.00030974375,0,1,0,9.11830767698E-05,11.4643158055,0,0,104.534169607,0,178,186,59078,186,186,15751,7653,0
0,2723300,0,0,0,0.000323738461538,0,1,0,8.30357266438E-05,12.8491831478,0,0,109.060036711,0,148,151,59229,151,151,12603.99,5960,0
0,2730600,0,0,0,0.000471746575342,0,1,0,9.32555083846E-05,12.8491831478,0,0,28.1009277541,0,171,191,59420,191,191,36805.82,25978,0
0,2738150,0,0,0,0.000340443708609,0,1,0,9.64491901786E-05,12.8491831478,0,0,79.4736005541,0,166,173,59593,173,173,17099.97,9500,0
0,2744700,0,0,0,0.000458847328244,0,1,0,8.36744630026E-05,12.8491831478,0,0,17.2950901483,0,153,166,59759,166,166,49545.01,37872,0
0,2752100,0,0,0,0.000266182432432,0,1,0,9.45329811022E-05,12.8491831478,0,0,230.457801308,0,163,170,59929,170,170,10660,3211,0
0,2759200,0,0,0,0.000540161971831,0,1,0,9.07005629494E-05,12.8491831478,0,0,30.899793276,0,186,193,60122,193,193,31698.66,22978,0
